Barack Obama (I)D 2012,Change in D%,Change in R%,Change in total votes 2016 to 2012,Clinton %,County,Donald J. Trump (Rep),Gary Johnson (L) 2012,Gary Johnson (Lib),Hillary Clinton (Dem),Johnson % 1,Johnson %,Mitt Romney 2012,Number of Records,Obama %,Romney %,State,Total 2012,Total 2016,Trump %,Trump - Clinton tableau,Vote % change 2016 to 2012
1074,-0.071640534,0.068529109,-47,31.90%,Treutlen,1809,24,32,862,0.90%,1.20%,1652,1,39.10%,60.10%,Georgia,2750,2703,66.90%,0.350351461,-0.017090909
10547,-0.033794697,0.022360159,-193,37.20%,Troup,15643,260,553,9597,1.00%,2.10%,15179,1,40.60%,58.40%,Georgia,25986,25793,60.60%,0.234404683,-0.007427076
1510,-0.057609815,0.047876131,-169,36.70%,Turner,2094,21,53,1243,0.60%,1.60%,2028,1,42.40%,57.00%,Georgia,3559,3390,61.80%,0.251032448,-0.047485249
2270,-0.054159235,0.048018972,-149,48.60%,Twiggs,2034,25,49,1970,0.60%,1.20%,1907,1,54.00%,45.40%,Georgia,4202,4053,50.20%,0.015790772,-0.035459305
2139,-0.030149914,0.026018253,963,16.30%,Union,9849,164,228,1962,1.50%,1.90%,8773,1,19.30%,79.20%,Georgia,11076,12039,81.80%,0.655120857,0.086944745
3959,-0.033764173,0.025230002,-339,31.80%,Upson,7288,74,165,3471,0.70%,1.50%,7230,1,35.20%,64.20%,Georgia,11263,10924,66.70%,0.349414134,-0.030098553
5274,-0.064986994,0.048747325,2053,17.60%,Walker,18938,365,788,4213,1.70%,3.30%,16247,1,24.10%,74.20%,Georgia,21886,23939,79.10%,0.615105059,0.093804258
8148,-0.011920409,-0.00314291,2828,20.50%,Walton,31093,413,1053,8279,1.10%,2.60%,29036,1,21.70%,77.20%,Georgia,37597,40425,76.90%,0.564353741,0.075218767
3900,-0.04386217,0.035115831,211,28.30%,Ware,8508,98,206,3436,0.80%,1.70%,7941,1,32.70%,66.50%,Georgia,11939,12150,70.00%,0.41744856,0.017673172
1529,-0.042268809,0.033033128,-194,56.30%,Warren,991,7,28,1313,0.30%,1.20%,990,1,60.50%,39.20%,Georgia,2526,2332,42.50%,-0.138078902,-0.076801267
4714,-0.038105726,0.033173942,-385,49.70%,Washington,4138,58,97,4187,0.70%,1.20%,4035,1,53.50%,45.80%,Georgia,8807,8422,49.10%,-0.005818095,-0.043715227
2596,-0.056411657,0.048914667,112,19.70%,Wayne,8147,111,190,2039,1.10%,1.80%,7557,1,25.30%,73.60%,Georgia,10264,10376,78.50%,0.588666153,0.010911925
582,-0.067510992,0.059211173,-73,42.30%,Webster,630,4,13,471,0.30%,1.20%,601,1,49.00%,50.60%,Georgia,1187,1114,56.60%,0.142728905,-0.061499579
772,-0.050081052,0.043615428,-58,30.70%,Wheeler,1421,22,35,646,1.00%,1.70%,1366,1,35.70%,63.20%,Georgia,2160,2102,67.60%,0.36869648,-0.026851852
1671,-0.017463439,0.002599523,1295,14.20%,White,9751,154,348,1672,1.50%,3.00%,8651,1,16.00%,82.60%,Georgia,10476,11771,82.80%,0.686347804,0.123615884
7210,-0.007401836,-0.010116877,3501,26.10%,Whitfield,21514,346,923,7925,1.30%,3.00%,19305,1,26.80%,71.90%,Georgia,26861,30362,70.90%,0.447566036,0.130337664
1060,-0.052295467,0.048681849,-155,28.70%,Wilcox,2096,15,25,852,0.50%,0.80%,2053,1,33.90%,65.60%,Georgia,3128,2973,70.50%,0.41843256,-0.04955243
2087,-0.025825323,0.021265201,-291,41.30%,Wilkes,2569,39,57,1844,0.80%,1.30%,2635,1,43.80%,55.30%,Georgia,4761,4470,57.50%,0.162192394,-0.061121613
2181,-0.047408898,0.040650403,-174,44.30%,Wilkinson,2332,23,51,1893,0.50%,1.20%,2246,1,49.00%,50.50%,Georgia,4450,4276,54.50%,0.102666043,-0.039101124
2487,-0.051738896,0.045923582,-150,24.40%,Worth,6144,60,107,2015,0.70%,1.30%,5869,1,29.60%,69.70%,Georgia,8416,8266,74.30%,0.49951609,-0.017823194
