Barack Obama (I)D 2012,Change in D%,Change in R%,Change in total votes 2016 to 2012,Clinton %,County,Donald J. Trump (Rep),Gary Johnson (L) 2012,Gary Johnson (Lib),Hillary Clinton (Dem),Johnson % 1,Johnson %,Mitt Romney 2012,Number of Records,Obama %,Romney %,State,Total 2012,Total 2016,Trump %,Trump - Clinton tableau,Vote % change 2016 to 2012
5057,-0.055660315,0.049002914,-553,29.40%,Coffee,9575,144,231,4090,1.00%,1.70%,9248,1,35.00%,64.00%,Georgia,14449,13896,68.90%,0.394717904,-0.038272545
3973,-0.043622222,0.03407045,268,25.50%,Colquitt,9892,108,240,3460,0.80%,1.80%,9243,1,29.80%,69.40%,Georgia,13324,13592,72.80%,0.473219541,0.02011408
16451,0.014629179,-0.038081656,5275,29.40%,Columbia,43060,699,2267,18863,1.20%,3.50%,41765,1,27.90%,70.90%,Georgia,58915,64190,67.10%,0.376959028,0.089535772
2042,-0.048590183,0.03866713,10,29.00%,Cook,4175,51,111,1752,0.80%,1.80%,3935,1,33.90%,65.30%,Georgia,6028,6038,69.10%,0.401291818,0.001658925
15168,-0.002804359,-0.0205485,5771,27.00%,Coweta,42513,723,2230,16572,1.30%,3.60%,39653,1,27.30%,71.40%,Georgia,55544,61315,69.30%,0.42307755,0.103899611
1706,-0.05726403,0.04801108,25,27.50%,Crawford,3632,58,106,1419,1.10%,2.10%,3368,1,33.20%,65.60%,Georgia,5132,5157,70.40%,0.429125461,0.004871395
3167,-0.050204435,0.039759221,104,37.80%,Crisp,4539,47,126,2835,0.60%,1.70%,4182,1,42.80%,56.50%,Georgia,7396,7500,60.50%,0.2272,0.014061655
1411,-0.079805225,0.066012095,221,15.50%,Dade,5047,135,226,965,2.20%,3.60%,4471,1,23.50%,74.30%,Georgia,6017,6238,80.90%,0.654376403,0.036729267
1241,0.002415056,-0.018243209,1442,12.40%,Dawson,9880,150,356,1444,1.50%,3.00%,8847,1,12.10%,86.40%,Georgia,10238,11680,84.60%,0.722260274,0.140847822
4591,-0.037045837,0.031417878,-246,40.10%,Decatur,6009,69,125,4104,0.70%,1.20%,5824,1,43.80%,55.60%,Georgia,10484,10238,58.70%,0.186071498,-0.023464327
